S.N.,Date,Country,Occasion
1,19-Aug,Afghanistan,Independence Day
2,28-Nov,Albania,Independence Day
3,1-Nov,Algeria,National Day
4,8-Sep,Andorra,National Day
5,11-Nov,Angola,Independence Day
6,1-Nov,Antigua and Barbuda,Independence Day
7,25-May,Argentina,National Day
8,21-Sep,Armenia,Independence Day
9,26-Jan,Australia,National Day
10,26-Oct,Austria,National Day
11,28-May,Azerbaijan,Day of the Republic
12,10-Jul,Bahamas,Independence Day
13,16-Dec,Bahrain,National Day
14,26-Mar,Bangladesh,Independence Day
15,3-Jul,Belarus,Day of Republic
16,21-Jul,Belgium,National Day 
17,17-Dec,Bhutan,Coronation of the First Druk Gyalpo (King of Bhutan)
18,6-Aug,Bolivia,Independence Day
19,1-Mar,Bosnia Herzegovina,National Day
20,30-Sep,Botswana,Independence Day
21,7-Sep,Brazil,National Day
22,23-Feb,Brunei Darussalam,National Day
23,3-Mar,Bulgaria,National Day
24,11-Dec,Burkina Faso,Republic Day
25,5-Jul,Cabo Verde,Independence Day
26,9-Nov,Cambodia,Independence Day
27,1-Jul,Canada,Canada Day
28,18-Sep,Chile,Independence Day
29,1-Oct,China,Anniversary of the Founding of the People's Republic of China
30,20-Jul,Colombia,Independence Day
31,15-Sep,Costa Rica,Anniversary of the Independence of the Republic of Costa Rica
32,7-Aug,Cost de Ivoire,Independence Day
33,25-Jun,Croatia,Statehood Day
34,1-Jan,Cuba,Liberation Day
35,1-Oct,Cyprus,Independence Day
36,28-Oct,Czech Republic,National Day
37,5-Jun,Denmark,Constitution Day
38,7-Aug,Djibouti,Independence Day
39,27-Feb,Dominican Republic ,Independence Day
40,9-Sep,DPR Korea,Day of the Foundation of the Democratic People’s Republic of Korea
41,30-Jun,DR Congo,Independence Day
42,10-Aug,Ecuador ,Independence Day
43,23-Jul,Egypt,National Day
44,15-Sep,El Salvador,Independence Day
45,24-May,Eritrea,Independence Day
46,24-Feb,Estonia,Independence Day
47,28-May,Ethiopia,National Day
48,10-Oct,Fiji,National Day
49,6-Dec,Finland,Independence Day
50,14-Jul,France,National Day
51,17-Aug,Gabon,Independence Day
52,9-Apr,Georgia,Independence Day
53,3-Oct,Germany,Day of German Unity
54,25-Mar,Greece,Independence Day
55,15-Sep,Guatemala,Independence Day
56,2-Oct,Guinea,Independence Day
57,23-Feb,Guyana,Republic Day
58,1-Jan,Haiti,Independence Day
59,13-Mar,Holy See,National Day: Anniversary of Election of Pope Francis
60,15-Sep,Honduras ,Independence Day
61,23-Oct,Hungary,National Day
62,17-Jun,Iceland,National Day
63,26-Jan,India,Republic Day
64,17-Aug,Indonesia,Independence Day
65,11-Feb,Iran,Anniversary of the Islamic Revolution 
66,3-Oct,Iraq,Independence Day
67,17-Mar,Ireland,St. Patrick's Day
68,23-Apr,Israel,"Independence Day (12 May 2016, Independence Day)"
69,2-Jun,Italy,National Day
70,6-Aug,Jamaica,Independence Day
71,23-Dec,Japan,Birthday of His Majesty the Emperor
72,25-May,Jordan,Independence Day
73,16-Dec,Kazakhstan,Independence Day
74,12-Dec,Kenya,Republic Day
75,25-Feb,Kuwait,National Day
76,31-Aug,Kyrgyz Republic,National Day
77,2-Dec,Laos,Founding of the Lao People’s Democratic Republic
78,18-Nov,Latvia,Independence Day
79,22-Nov,Lebanon,National Day
80,4-Oct,Lesotho,Independence Day
81,26-Jul,Liberia,Independence Day
82,15-Aug,Liechtenstein,National Day
83,1-Sep,Libya,National Day
84,16-Feb,Lithuania ,Independence Day
85,23-Jun,Luxembourg,National Day (Official Birthday of HRH the Grand Duke)
86,8-Sep,Macedonia,Independence Day
87,31-Aug,Malaysia,Independence Day
88,26-Jul,Maldives,Independence Day
89,22-Sep,Mali,Independence Day
90,21-Sep,Malta,National Day
91,28-Nov,Mauritania,Independence Day
92,12-Mar,Mauritius,Republic Day
93,16-Sep,Mexico,Independence Day
94,27-Aug,Moldova,Independence Day
95,19-Nov,Monaco,National Day
96,11-Jul,Mongolia,Anniversary of the National Festival-NAADAM
97,13-Jul,Montenegro,Independence Day
98,30-Jul,Morocco,National Day
99,25-Jun,Mozambique,Independence Day
100,4-Jan,Myanmar,Independence Day
101,20-Sep,Nepal,Constitution Day
102,6-Feb,New Zealand,Waitangi Day
103,15-Sep,Nicaragua,Independence Day
104,3-Aug,Niger,Independence Day
105,1-Oct,Nigeria,National Day
106,17-May,Norway,Constitution Day
107,18-Nov,Oman,National Day
108,23-Mar,Pakistan,National Day
109,3-Nov,Panama,National Day
110,16-Sep,Papua New Guinea,Independence Day
111,15-May,Paraguay,Independence Day
112,28-Jul,Peru,Independence Day
113,3-May,Poland,Anniversary of Proclamation of 1791 Constitution
114,10-Jun,Portugal,National Day
115,18-Dec,Qatar,National Day
116,3-Oct,Republic of Korea,National Foundation Day 
117,1-Dec,Romania ,National Day
118,12-Jun,Russia,The Day of Russia
119,27-Oct,Saint Vincent and the Grenadines,Independence Day
120,1-Jun,Samoa,Independence Day
121,3-Sep,San Marino,National Day
122,23-Sep,Saudi Arabia,National Day
123,15-Feb,Serbia,Statehood Day
124,18-Jun,Seychelles,National Day
125,9-Aug,Singapore,National Day
126,1-Sep,Slovakia,National Day
127,25-Jun,Slovenia ,National Day
128,7-Jul,Soloman Island,Independence Day
129,1-Jul,Somalia,National Day
130,27-Apr,South Africa,Freedom Day
131,12-Oct,Spain,National Day
132,4-Feb,Sri Lanka,Independence Commemoration Day
133,1-Jan,Sudan,National Day
134,6-Jun,Sweden,National Day
135,1-Aug,Switzerland,Foundation of the Swiss Confederation
136,17-Apr,Syria,National Day
137,9-Sep,Tajikistan,Independence Day
138,26-Apr,Tanzania,National Day
139,5-Dec,Thailand,Birthday Anniversary of HM King Bhumibol Adulyadej
140,27-Apr,The Netherlands,King's Day
141,12-Jun,The Philippines,Proclamation of Philippine Independence
142,20-Mar,Tunisia,National Day
143,29-Oct,Turkey,Anniversary of the Declaration of the Republic of Turkey
144,26-Oct,Turkmenistan,Independence Day
145,1-Oct,Tuvalu,Independence Day
146,2-Dec,UAE,National Day
147,24-Aug,Ukraine,Independence Day
148,21-Apr,United Kingdom,Birthday of Her Majesty Queen Elizabeth II
149,25-Aug,Uruguay,Independence Day
150,4-Jul,USA,Independence Day
151,30-Jul,Vanuatu,Independence Day
152,5-Jul,Venezuela,National Day
153,2-Sep,Vietnam,National Day
154,22-May,Yemen,National Day
155,24-Oct,Zambia,National Day
156,18-Apr,Zimbabwe,Independence Day
157,9-Oct,Uganda,Independence Day
